type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
imessage,102400,0.014599,0.012148,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005215,0.005381,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015687,0.010873,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026698,0.026397,102481,0,102400,16,0,0,65
imessage,102400,0.014415,0.012649,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005084,0.005353,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015741,0.011005,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027022,0.026462,102481,0,102400,16,0,0,65
imessage,102400,0.015213,0.012420,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005151,0.005332,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015950,0.010755,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026833,0.026005,102481,0,102400,16,0,0,65
imessage,102400,0.014446,0.012462,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005210,0.005327,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015874,0.010807,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027028,0.026258,102481,0,102400,16,0,0,65
imessage,102400,0.014342,0.012269,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005144,0.005229,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015908,0.010738,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026894,0.026021,102481,0,102400,16,0,0,65
imessage,102400,0.014279,0.012218,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005192,0.005319,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015756,0.010899,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026889,0.026259,102481,0,102400,16,0,0,65
imessage,102400,0.014432,0.012356,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005136,0.005335,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015837,0.010932,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027058,0.026160,102481,0,102400,16,0,0,65
imessage,102400,0.014289,0.012244,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005164,0.005346,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015875,0.010981,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026903,0.026218,102481,0,102400,16,0,0,65
imessage,102400,0.014352,0.012350,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005244,0.005306,102464,16,102400,16,32,0,0
ecies_signature,102400,0.016008,0.011233,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027225,0.026056,102481,0,102400,16,0,0,65
imessage,102400,0.014460,0.012267,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005251,0.005345,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015878,0.010767,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027030,0.026192,102481,0,102400,16,0,0,65
imessage,102400,0.014366,0.012303,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005305,0.005243,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015781,0.010780,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026694,0.026429,102481,0,102400,16,0,0,65
imessage,102400,0.014531,0.012116,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005120,0.005291,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015705,0.011135,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027608,0.026515,102481,0,102400,16,0,0,65
imessage,102400,0.014410,0.012254,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005090,0.005309,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015777,0.010761,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027252,0.026409,102481,0,102400,16,0,0,65
imessage,102400,0.014446,0.012137,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005219,0.005329,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015687,0.010876,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026993,0.026361,102481,0,102400,16,0,0,65
imessage,102400,0.014357,0.012248,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005060,0.005389,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015861,0.010846,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027015,0.026147,102481,0,102400,16,0,0,65
imessage,102400,0.014289,0.012326,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005081,0.005305,102464,16,102400,16,32,0,0
ecies_signature,102400,0.016003,0.010798,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027066,0.026357,102481,0,102400,16,0,0,65
imessage,102400,0.014326,0.012321,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005116,0.005283,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015864,0.010888,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026714,0.026138,102481,0,102400,16,0,0,65
imessage,102400,0.014481,0.012252,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005286,0.005312,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015693,0.011070,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027022,0.026122,102481,0,102400,16,0,0,65
imessage,102400,0.014407,0.012492,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005158,0.005345,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015831,0.010807,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027087,0.026289,102481,0,102400,16,0,0,65
imessage,102400,0.014279,0.012327,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005154,0.005250,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015749,0.011490,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027108,0.026039,102481,0,102400,16,0,0,65
imessage,102400,0.014245,0.012237,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005055,0.005407,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015897,0.011023,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026974,0.025806,102481,0,102400,16,0,0,65
imessage,102400,0.014292,0.012440,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005086,0.005348,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015873,0.010877,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027112,0.026089,102481,0,102400,16,0,0,65
imessage,102400,0.014391,0.012273,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005046,0.005366,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015878,0.011385,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027178,0.026303,102481,0,102400,16,0,0,65
imessage,102400,0.014280,0.012351,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005097,0.005407,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015732,0.010909,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026701,0.026201,102481,0,102400,16,0,0,65
imessage,102400,0.014357,0.012222,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005200,0.005269,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015948,0.010830,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027413,0.026032,102481,0,102400,16,0,0,65
imessage,102400,0.014361,0.012490,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005176,0.005207,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015830,0.010813,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027083,0.026058,102481,0,102400,16,0,0,65
imessage,102400,0.014306,0.012336,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005117,0.005435,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015893,0.010913,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026964,0.025826,102481,0,102400,16,0,0,65
